[2025-01-27 00:22:37,328](main) Filepid(/run/user/1000/srv11.pid) exists, but the process is not started! Delete filepid
[2025-01-27 02:23:27,659](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A07 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f9ee32768b0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 10:01:14,033](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A07 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f772d4d6a30>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 10:01:30,707](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A07 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f772d4f3790>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 10:15:50,133](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A111 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f772d4f36d0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 10:16:25,205](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A111 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f772d490f10>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 10:34:58,646](main) Filepid(/run/user/1000/srv11.pid) exists, but the process is not started! Delete filepid
[2025-01-27 10:35:20,159](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A012 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf08a4f70>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 10:35:47,665](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A09 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf08bfb80>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 10:36:18,330](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A08 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf08bf130>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 10:36:27,162](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A010 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf08a4d90>: Failed to establish a new connection: [Errno 111] Connection refused')). 
